"Entry","Name","Origin","Region","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
247,"PI 431643 LSP AGL","Iran","Asia",30.5394736842105,29.3,25.9
248,"PI 431662 LSP AGL","Iran","Asia",32.4047306176084,27.1,28.8
249,"PI 431663 LSP AGL","Iran","Asia",36.7042253521127,32.3,33.8
250,"PI 431679 LSP AGL","Egypt","Africa",30.9638554216867,24.3,26.4
251,"PI 431684 LSP AGL","Iran","Asia",31.2709030100334,25.6,24.6
252,"PI 431705 LSP AGL","Iran","Asia",39.1747572815534,36.3,32
253,"PI 431710 LSP AGL","Iran","Asia",37.8398058252427,33.2,26.4
254,"PI 431714 LSP AGL","Iran","Asia",33.3516483516484,30.6,35.6
255,"PI 431717 LSP AGL","Iran","Asia",33.1616341030195,29.5,31
256,"PI 431728 LSP AGL","Iran","Asia",32.129246064623,27.7,29.5
257,"PI 431731 LSP AGL","Iran","Asia",33.557703025034,29.4,30.4
258,"PI 431739 LSP AGL","Iran","Asia",34.665532372168,29.3,30.1
259,"PI 431753 LSP AGL","Iran","Asia",36.3513262500929,31.8,41.8
260,"PI 431756 LSP AGL","Iran","Asia",34.5722300140252,34.3,33.2
261,"PI 431809 LSP AGL","Iran","Asia",38.5902503293808,38,38.2
262,"PI 431824 LSP AGL","Iran","Asia",36.6551187782805,32.6,30.4
263,"PI 431863 LSP AGL","Iran","Asia",35.8435941512277,38.3,34.7
264,"PI 431873 LSP AGL","Iran","Asia",35.1317863828949,27.8,33.6
265,"PI 431884 LSP AGL","Iran","Asia",43.2482102322333,34.5,32.3
266,"PI 431888 LSP AGL","Iran","Asia",28.3024691358025,24.4,26.6
267,"PI 431923 LSP AGL","Iran","Asia",27.2132421104858,26.8,26.9
268,"PI 431980 LSP AGL","Iran","Asia",54.3432835820895,44.5,47.7
269,"PI 432000 LSP AGL","Iran","Asia",27.6892430278884,25,27.5
270,"PI 432001 LSP AGL","Iran","Asia",42.431654676259,41.8,32.6
271,"PI 432002 LSP AGL","Iran","Asia",34.7419559122799,27,30.6
272,"PI 432005 LSP AGL","Iran","Asia",44.2643391521197,40.3,44.2
273,"PI 432028 LSP AGL","Iran","Asia",36.9899858604342,32.6,32
274,"PI 432033 LSP AGL","Iran","Asia",35.1046823240407,32,29.2
275,"PI 432085 LSP AGL","Iran","Asia",45.5829596412556,43,42.3
