"Name","It17_Plot.Area.d094","It17_Plot.Area.d100","It17_Plot.Area.d118","It17_Plot.Area.d132","It17_Plot.Area.d164","It17_Plot.Height.d094","It17_Plot.Height.d100","It17_Plot.Height.d118","It17_Plot.Height.d132","It17_Plot.Height.d164","It17_Plot.Volume.d094","It17_Plot.Volume.d100","It17_Plot.Volume.d118","It17_Plot.Volume.d132","It17_Plot.Volume.d164"
"PI_420925_LSP_AGL",0.246280332397681,0.343227485365343,0.985918308804313,1.71281217287626,1.69568405114749,0.0804468741019567,0.103331461548805,0.132673720518748,0.316959023475647,0.31378943324089,0.0204182703561462,0.0354649485861842,0.131369027278293,0.546032306983338,0.540571983913505
"PI_420929_LSP_AGL",0.226788622208534,0.289504524564106,0.876979216040236,1.44323661819471,1.42880425201276,0.0736891403794289,0.0908130953709285,0.126186256607374,0.295099606116613,0.292148610055447,0.0171895086321835,0.0268593610659803,0.112505880924772,0.429883534979663,0.425584699629866
"PI_426202_LSP_AGL",0.113804044505092,0.173804020150779,0.590683994961649,1.10565430843825,1.28735110108648,0.0651868047813575,0.0720240237812201,0.102558289964994,0.233583917220434,0.242800482610861,0.00776979177189921,0.0130473568605351,0.0621252607786557,0.259430562213763,0.313079556231718
"PI_426778_LSP_AGL",0.0863152583309687,0.132114308670277,0.41183273016668,0.937632486575537,1.30711531615673,0.0678414292633533,0.084779920677344,0.0864685028791428,0.197671115398407,0.220425027062496,0.00586515772272708,0.011334963219142,0.0360961410519569,0.193557355147327,0.287136461633378
"PI_426784_LSP_AGL",0.172369942925565,0.0906905362825759,0.424203638319437,0.708600119457734,0.701514118263157,0.0746352920929591,0.101077462236087,0.0768046913047632,0.200735266009967,0.198727913349867,0.0133542220379101,0.00963370054779214,0.0341191261023923,0.146574434278506,0.145108689935721
"PI_426797_LSP_AGL",0.150786773923011,0.21062865481834,0.737430805115924,1.27906341137915,1.26627277726536,0.0824257408579191,0.116983704268932,0.133370374639829,0.319944163163503,0.316744721531868,0.0118585462616909,0.0244703544517406,0.0982432128127301,0.411887557738895,0.407768682161506
"PI_426807_LSP_AGL",0.167847167179627,0.149454797530309,0.569656074927058,1.24207994410715,1.20784228649417,0.0594220037261645,0.0902663667996724,0.0602679389218489,0.213970854878426,0.22600953489542,0.0106819315935563,0.0128839739500986,0.0331146293607567,0.26572391386766,0.27344961581457
"PI_431618_LSP_AGL",0.427513560819822,0.564967387925325,1.27530245261668,1.6747364258431,2.1821097807121,0.0888510023554166,0.121075210471948,0.138389190038045,0.280253390471141,0.296541730562846,0.0371616599363619,0.0690270368802254,0.174575028612797,0.470886354815706,0.646989576957043
"PI_431622_LSP_AGL",0.225634779078641,0.284243843136804,0.791293689034231,1.44852672720759,1.80771419273816,0.0720750453571479,0.0948040634393692,0.135851281384627,0.24934842189153,0.248275545934836,0.0155326748861177,0.0271399200592433,0.113047175714676,0.357362595781271,0.437797772582221
"PI_431630_LSP_AGL",0.256040887214639,0.255440804789316,0.720537685696873,1.40501709885611,2.37570527718918,0.0810222799579303,0.0919312611222267,0.126282408833504,0.242491443951925,0.267657811443011,0.0152552117597126,0.0205003035558648,0.0929318385174025,0.334388649958893,0.637800845856551
"PI_431633_LSP_AGL",0.270304008456202,0.286745128032363,0.746168352967784,1.34825577816857,1.33477322038688,0.0828945537408193,0.10136998941501,0.144218094646931,0.265127634008725,0.262476357668638,0.0224100826622266,0.0289189820441494,0.112221501237396,0.361389418174334,0.357775523992591
"PI_431636_LSP_AGL",0.235106192894467,0.47611688446242,1.22480842367811,1.89308102976128,1.87415021946366,0.071936160326004,0.09059722473224,0.132514794667562,0.283151139815648,0.280319628417492,0.0171775367887086,0.0448857006277707,0.161446907999986,0.538681773932452,0.533294956193128
"PI_431643_LSP_AGL",0.212259440071412,0.334725805558467,0.955057773392985,1.53519005379057,1.77864071059515,0.0850698873400688,0.105998031795025,0.108222385247548,0.278567512830098,0.295738373696804,0.0184221941019742,0.0359329557784926,0.101733019296222,0.428294543174627,0.526410683341585
"PI_431662_LSP_AGL",0.202835483997196,0.172662301187835,0.532727349635818,1.12356513805248,1.11232948667196,0.077480619152387,0.0884848535060883,0.113613118728002,0.232408910989761,0.230084821879864,0.0155489716066839,0.0148063374117161,0.0603488152389184,0.262770263357332,0.260142560723759
"PI_431663_LSP_AGL",0.202901575783121,0.198420098332386,0.524440705923793,1.16426905005074,1.15262635955023,0.0692237454156081,0.0944185505310694,0.108674551049868,0.261807898680369,0.259189819693565,0.0137917234748254,0.0186488867430053,0.0565824876990665,0.303678735554415,0.300641948198871
"PI_431679_LSP_AGL",0.245216055725732,0.11315970661188,0.395166446220237,1.00134558711115,1.93526993084196,0.0791799786190192,0.0973030726114909,0.106612332165241,0.216774553060532,0.229557118713856,0.0220101191245946,0.0114779107442131,0.042815020420356,0.219850038174273,0.446777609446623
"PI_431684_LSP_AGL",0.163145838693022,0.158773516395013,0.512339937145878,1.15528873363033,1.53667626053049,0.0867705444494883,0.101714531580607,0.103469622631868,0.245200231671333,0.257998559276263,0.0141657581129149,0.0164359688478524,0.05486527105239,0.290732979165647,0.393412993638151
"PI_431705_LSP_AGL",0.239491403858884,0.325917818581716,0.823383488764179,1.51908697176875,1.50389610205106,0.0846179313957691,0.0963325053453445,0.120173718780279,0.267826482653618,0.265148217827082,0.0211517946951077,0.0308423313721161,0.0984234215441472,0.406570425952466,0.402504721692941
"PI_431710_LSP_AGL",0.10676847145163,0.173374597005552,0.479808498957278,0.985293806640319,0.975440868573916,0.0870500989258289,0.103902459144592,0.109430042405923,0.217814336220423,0.215636192858219,0.00935783493622362,0.0167141371897699,0.0507543822288113,0.215944398632695,0.213784954646368
"PI_431714_LSP_AGL",0.19152318351873,0.291698101790387,0.797476397883561,1.49942770114877,1.48443342413728,0.0934416726231575,0.118368228276571,0.125078104436398,0.271581123272578,0.268865312039852,0.0172156749082266,0.0339157828716767,0.0981415616536779,0.402745628251566,0.398718171969051
"PI_431717_LSP_AGL",0.228653158589948,0.308859502118821,0.768566549801414,1.42127909444226,1.40706630349784,0.0850649277369181,0.115545272827148,0.115920419494311,0.272851268450419,0.270122755765915,0.0193035844177585,0.035636722583395,0.0897742201958083,0.39049638571312,0.386591421855989
"PI_431728_LSP_AGL",0.20044330952017,0.211243260589052,0.629166986361038,1.27311917443102,1.26038798268671,0.0663458940883477,0.0872914815942446,0.115057418743769,0.249238153298696,0.246745771765709,0.0134301560712105,0.0183600492963877,0.0736536497329747,0.319630419660092,0.316434115463492
