"Name","Su17_gc.a.at.DTF","Su17_gc.a.at.DTM","Su17_gc.a.perc.DTF","Su17_gc.a.xmax.DTF","Su17_gc.a.xmax.DTM","Su17_gc.a.xmid.DTF","Su17_gc.a.xmid.DTM","Su17_gc.h.at.DTF","Su17_gc.h.at.DTM","Su17_gc.h.perc.DTF","Su17_gc.h.xmax.DTF","Su17_gc.h.xmax.DTM","Su17_gc.h.xmid.DTF","Su17_gc.h.xmid.DTM","Su17_gc.v.at.DTF","Su17_gc.v.at.DTM","Su17_gc.v.perc.DTF","Su17_gc.v.xmax.DTF","Su17_gc.v.xmax.DTM","Su17_gc.v.xmid.DTF","Su17_gc.v.xmid.DTM"
"PI_299164_LSP_AGL",0.479342199088465,1.20760569608672,42.2872275414831,26,-11,2.5039764631581,-34.8862914004709,0.142955183660419,0.203587196823644,63.6207801166271,19.5,-23,-4.3017008225217,-44.2565199052058,0.0531548372424503,0.245433007152046,20.903170122001,22.5,-17,6.9527316514775,-31.6875597846749
"PI_299165_AGL",0.452612870312108,1.05277085105449,38.9210607222014,26,-13,3.4925797633029,-34.4904082168036,0.131213412509135,0.187649569674517,67.5822523303761,22,-15,-7.15616973906513,-46.279394923857,0.0427807203886297,0.192785456725446,19.1370912465135,23,-16,7.4036949504883,-30.7810869511569
"PI_299177_LSP_AGL",0.386391774796749,NA,27.956050931563,28.6666666666667,NA,6.92623589767683,NA,0.119819698512586,NA,51.0329040304731,31,NA,-0.3775238433054,NA,0.0329570132257434,NA,10.35001486311,26.6666666666667,NA,11.1820554421713,NA
"PI_299237_LSP_AGL",0.417817736217076,1.39717611516319,24.9293768436641,30,-12.5,8.0312831387529,-31.9715684531482,0.123146894985878,0.244176854440816,48.8962757539971,26.5,-9,0.38576676143775,-37.2239767247663,0.0363935870056737,0.335561493969607,8.92532876000775,26,-14.5,11.1611795963085,-28.2448051717928
"PI_299289_AGL",0.506389973170135,1.51673648097329,31.407234954172,31,-12,6.4667280122812,-35.8526721196654,0.137381798596565,0.271335305958943,48.5428523853164,31,-12,0.55695256957555,-40.9406864827743,0.0528740791968156,0.384447542014814,12.2951177618148,27.5,-17,10.7431260022441,-31.9634795184118
"PI_299312_AGL",0.839729584088641,1.48132968654754,56.9103987819185,21.3333333333333,-13,-2.49460000576223,-38.9026623545077,0.171327388554828,0.253608155216944,67.7414304561774,23,-15,-7.51366304193377,-43.5368410981408,0.135638241617713,0.367903494944613,37.2374318952948,19.3333333333333,-16,2.7798172763096,-33.3676344013869
"PI_299345_AGL",0.703821457447569,NA,48.249035403661,21.3333333333333,NA,0.219770719843135,NA,0.165934063777201,NA,64.1449680809291,27.6666666666667,NA,-6.49279942411987,NA,0.101304924427664,NA,27.8826779695113,21.6666666666667,NA,5.16216047468573,NA
"PI_299351_LSP_AGL",0.380491890605566,1.34125573378437,27.9756112728472,32,-6,7.74012115489587,-30.2598788451041,0.1237543283856,0.183052762201676,67.7526901741103,19,-19,-6.55764874694047,-44.5576487469405,0.0384639304762952,0.241859422467317,16.4810083982444,27.3333333333333,-10.6666666666667,9.89366741771067,-28.1063325822893
"PI_299366_LSP_AGL",0.532374112372821,1.34482253578987,41.1905623228415,28,-15.5,3.00577222546413,-41.7964472941669,0.139844752643078,0.243950395054108,59.7340816256771,24.6666666666667,-21,-3.66853635980433,-46.2017080130599,0.0669294541028752,0.327847939593167,21.9461923561475,26,-18,8.2968261022679,-35.9755813361705
"PI_299375_LSP_AGL",0.559757998933725,NA,40.393070921048,28.3333333333333,NA,3.23262491640137,NA,0.161536838334553,NA,63.082245518493,23,NA,-4.93795071447003,NA,0.0704590093729007,NA,20.8599495432445,24,NA,7.35064438339537,NA
